Entity,Country Code,Year,GINI Index

Albania,ALB,1990,24
Albania,ALB,1991,21
Albania,ALB,1992,23
Albania,ALB,1993,25
Albania,ALB,1994,26
Albania,ALB,1995,27
Albania,ALB,1996,27
Albania,ALB,1997,27
Albania,ALB,1998,27
Albania,ALB,1999,27
Albania,ALB,2000,26
Albania,ALB,2001,26
Albania,ALB,2002,31
Albania,ALB,2003,31
Albania,ALB,2004,31
Albania,ALB,2005,30
Albania,ALB,2006,31
Albania,ALB,2007,30
Albania,ALB,2008,29
Albania,ALB,2009,31
Albania,ALB,2010,31
Albania,ALB,2011,29
Albania,ALB,2012,28
Albania,ALB,2013,31
Albania,ALB,2014,34
Albania,ALB,2015,32
Albania,ALB,2016,33
Albania,ALB,2017,33
Albania,ALB,2018,30
Albania,ALB,2019,31
Albania,ALB,2020,31
Albania,ALB,2021,32

Australia,AUS,1990,31
Australia,AUS,1991,32
Australia,AUS,1992,33
Australia,AUS,1993,32
Australia,AUS,1994,32
Australia,AUS,1995,32
Australia,AUS,1996,31
Australia,AUS,1997,31
Australia,AUS,1998,32
Australia,AUS,1999,32
Australia,AUS,2000,32
Australia,AUS,2001,33
Australia,AUS,2002,32
Australia,AUS,2003,33
Australia,AUS,2004,33
Australia,AUS,2005,32
Australia,AUS,2006,33
Australia,AUS,2007,34
Australia,AUS,2008,35
Australia,AUS,2009,35
Australia,AUS,2010,34
Australia,AUS,2011,35
Australia,AUS,2012,35
Australia,AUS,2013,35
Australia,AUS,2014,34
Australia,AUS,2015,35
Australia,AUS,2016,33
Australia,AUS,2017,35
Australia,AUS,2018,34
Australia,AUS,2019,34
Australia,AUS,2020,34
Australia,AUS,2021,35

Austria,AUT,1990,23
Austria,AUT,1991,25
Austria,AUT,1992,28
Austria,AUT,1993,29
Austria,AUT,1994,31
Austria,AUT,1995,31
Austria,AUT,1996,31
Austria,AUT,1997,30
Austria,AUT,1998,31
Austria,AUT,1999,31
Austria,AUT,2000,28
Austria,AUT,2001,28
Austria,AUT,2002,28
Austria,AUT,2003,29
Austria,AUT,2004,29
Austria,AUT,2005,28
Austria,AUT,2006,29
Austria,AUT,2007,30
Austria,AUT,2008,30
Austria,AUT,2009,31
Austria,AUT,2010,30
Austria,AUT,2011,30
Austria,AUT,2012,30
Austria,AUT,2013,31
Austria,AUT,2014,31
Austria,AUT,2015,31
Austria,AUT,2016,31
Austria,AUT,2017,30
Austria,AUT,2018,31
Austria,AUT,2019,30
Austria,AUT,2020,30
Austria,AUT,2021,31

Belarus,BLR,1990,20
Belarus,BLR,1991,21
Belarus,BLR,1992,22
Belarus,BLR,1993,22
Belarus,BLR,1994,25
Belarus,BLR,1995,29
Belarus,BLR,1996,29
Belarus,BLR,1997,30
Belarus,BLR,1998,32
Belarus,BLR,1999,31
Belarus,BLR,2000,31
Belarus,BLR,2001,30
Belarus,BLR,2002,30
Belarus,BLR,2003,29
Belarus,BLR,2004,26
Belarus,BLR,2005,27
Belarus,BLR,2006,28
Belarus,BLR,2007,29
Belarus,BLR,2008,27
Belarus,BLR,2009,27
Belarus,BLR,2010,29
Belarus,BLR,2011,27
Belarus,BLR,2012,26
Belarus,BLR,2013,26
Belarus,BLR,2014,27
Belarus,BLR,2015,26
Belarus,BLR,2016,25
Belarus,BLR,2017,25
Belarus,BLR,2018,25
Belarus,BLR,2019,25
Belarus,BLR,2020,24
Belarus,BLR,2021,23

Belgium,BEL,1990,25
Belgium,BEL,1991,26
Belgium,BEL,1992,25
Belgium,BEL,1993,24
Belgium,BEL,1994,25
Belgium,BEL,1995,28
Belgium,BEL,1996,27
Belgium,BEL,1997,26
Belgium,BEL,1998,25
Belgium,BEL,1999,26
Belgium,BEL,2000,33
Belgium,BEL,2001,31
Belgium,BEL,2002,29
Belgium,BEL,2003,28
Belgium,BEL,2004,31
Belgium,BEL,2005,29
Belgium,BEL,2006,28
Belgium,BEL,2007,29
Belgium,BEL,2008,28
Belgium,BEL,2009,28
Belgium,BEL,2010,28
Belgium,BEL,2011,28
Belgium,BEL,2012,27
Belgium,BEL,2013,28
Belgium,BEL,2014,28
Belgium,BEL,2015,28
Belgium,BEL,2016,28
Belgium,BEL,2017,27
Belgium,BEL,2018,27
Belgium,BEL,2019,27
Belgium,BEL,2020,26
Belgium,BEL,2021,27

Brazil,BRA,1990,60
Brazil,BRA,1991,56
Brazil,BRA,1992,53
Brazil,BRA,1993,60
Brazil,BRA,1994,60
Brazil,BRA,1995,60
Brazil,BRA,1996,60
Brazil,BRA,1997,60
Brazil,BRA,1998,60
Brazil,BRA,1999,59
Brazil,BRA,2000,59
Brazil,BRA,2001,58
Brazil,BRA,2002,58
Brazil,BRA,2003,57
Brazil,BRA,2004,56
Brazil,BRA,2005,56
Brazil,BRA,2006,55
Brazil,BRA,2007,54
Brazil,BRA,2008,54
Brazil,BRA,2009,54
Brazil,BRA,2010,53
Brazil,BRA,2011,53
Brazil,BRA,2012,53
Brazil,BRA,2013,53
Brazil,BRA,2014,52
Brazil,BRA,2015,52
Brazil,BRA,2016,53
Brazil,BRA,2017,53
Brazil,BRA,2018,54
Brazil,BRA,2019,53
Brazil,BRA,2020,49
Brazil,BRA,2021,47

Bulgaria,BGR,1990,23
Bulgaria,BGR,1991,26
Bulgaria,BGR,1992,31
Bulgaria,BGR,1993,28
Bulgaria,BGR,1994,24
Bulgaria,BGR,1995,33
Bulgaria,BGR,1996,30
Bulgaria,BGR,1997,26
Bulgaria,BGR,1998,25
Bulgaria,BGR,1999,26
Bulgaria,BGR,2000,34
Bulgaria,BGR,2001,33
Bulgaria,BGR,2002,30
Bulgaria,BGR,2003,29
Bulgaria,BGR,2004,32
Bulgaria,BGR,2005,34
Bulgaria,BGR,2006,36
Bulgaria,BGR,2007,28
Bulgaria,BGR,2008,33
Bulgaria,BGR,2009,33
Bulgaria,BGR,2010,35
Bulgaria,BGR,2011,34
Bulgaria,BGR,2012,36
Bulgaria,BGR,2013,37
Bulgaria,BGR,2014,37
Bulgaria,BGR,2015,39
Bulgaria,BGR,2016,41
Bulgaria,BGR,2017,40
Bulgaria,BGR,2018,41
Bulgaria,BGR,2019,40
Bulgaria,BGR,2020,39
Bulgaria,BGR,2021,41

Canada,CAN,1990,32
Canada,CAN,1991,31
Canada,CAN,1992,31
Canada,CAN,1993,31
Canada,CAN,1994,31
Canada,CAN,1995,31
Canada,CAN,1996,31
Canada,CAN,1997,31
Canada,CAN,1998,33
Canada,CAN,1999,32
Canada,CAN,2000,33
Canada,CAN,2001,32
Canada,CAN,2002,33
Canada,CAN,2003,33
Canada,CAN,2004,33
Canada,CAN,2005,33
Canada,CAN,2006,33
Canada,CAN,2007,33
Canada,CAN,2008,33
Canada,CAN,2009,32
Canada,CAN,2010,33
Canada,CAN,2011,33
Canada,CAN,2012,33
Canada,CAN,2013,32
Canada,CAN,2014,33
Canada,CAN,2015,33
Canada,CAN,2016,32
Canada,CAN,2017,33
Canada,CAN,2018,33
Canada,CAN,2019,33
Canada,CAN,2020,33
Canada,CAN,2021,33

